region,med_high,med_low
alabama,76.52805970149254,76.52805970149254
arizona,74.95866666666667,74.95866666666667
arkansas,75.25666666666666,75.25666666666666
california,66.68413793103448,66.68413793103448
colorado,55.861111111111114,55.861111111111114
connecticut,58.79875,58.79875
delaware,63.660000000000004,63.660000000000004
district of columbia,66.3,66.3
florida,82.00149253731344,82.00149253731344
georgia,76.38666666666667,76.38666666666667
idaho,52.89909090909091,52.89909090909091
illinois,65.79117647058824,65.79117647058824
indiana,64.64228260869565,64.64228260869565
iowa,62.19222222222222,62.19222222222222
kansas,69.71095238095238,69.71095238095238
kentucky,68.32591666666667,68.32591666666667
louisiana,80.80421875,80.80421875
maine,52.463125,52.463125
maryland,64.11125,64.11125
massachusetts,56.625,56.625
michigan,55.27265060240964,55.27265060240964
minnesota,56.06781609195402,56.06781609195402
mississippi,77.82,77.82
missouri,68.58652173913043,68.58652173913043
montana,51.75982456140351,51.75982456140351
nebraska,64.30752688172043,64.30752688172043
nevada,59.65294117647059,59.65294117647059
new hampshire,54.295,54.295
new jersey,61.94571428571429,61.94571428571429
new mexico,69.13484848484849,69.13484848484849
new york,56.366129032258065,56.366129032258065
north carolina,70.5281,70.5281
north dakota,54.703962264150945,54.703962264150945
ohio,62.91011363636364,62.91011363636364
oklahoma,75.43506493506493,75.43506493506493
oregon,55.455555555555556,55.455555555555556
pennsylvania,59.79477611940298,59.79477611940298
rhode island,58.92,58.92
south carolina,75.32152173913043,75.32152173913043
south dakota,59.58090909090909,59.58090909090909
tennessee,70.45463157894737,70.45463157894737
texas,81.36143700787402,81.36143700787402
utah,55.86241379310345,55.86241379310345
vermont,52.74071428571428,52.74071428571428
virginia,67.27911764705883,67.27911764705883
washington,54.286923076923074,54.286923076923074
west virginia,64.21072727272727,64.21072727272727
wisconsin,55.66416666666667,55.66416666666667
wyoming,52.74695652173913,52.74695652173913
